,股票代码,dt,open,high,low,close,vol,cje,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39
0,TSLA,2024-04-16 21:34:00,156.700,156.700,156.364,156.440,698207,109227392.00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TSLA,2024-04-16 21:40:00,154.180,154.460,154.060,154.460,958813,147909632.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,TSLA,2024-04-16 22:18:00,156.770,156.960,156.570,156.589,412380,64654848.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,TSLA,2024-04-17 21:38:00,156.400,156.540,156.200,156.410,438806,68621952.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,TSLA,2024-04-17 23:26:00,156.170,156.230,156.170,156.170,210088,32501248.00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,TSLA,2024-04-18 00:02:00,150.415,150.415,150.301,150.365,132080,19829760.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,TSLA,2024-04-18 00:13:00,150.363,150.363,150.100,150.110,170460,25544192.00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,TSLA,2024-04-18 21:43:00,150.180,150.373,149.876,149.900,699660,105206016.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,TSLA,2024-04-18 21:48:00,149.503,149.770,149.353,149.770,625224,93601536.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,TSLA,2024-04-18 22:32:00,151.242,151.267,151.169,151.267,173012,25846784.00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,TSLA,2024-04-19 02:51:00,147.027,147.065,146.885,146.923,155448,22732800.00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
