,股票代码,dt,open,high,low,close,vol,cje,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39
0,NVDA,2024-04-16 22:01:00,875.113,875.113,874.550,874.550,153088,134010880.00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,NVDA,2024-04-17 00:03:00,858.018,858.018,857.012,857.012,81798,69959680.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,NVDA,2024-04-17 00:12:00,854.360,854.360,853.800,854.000,102162,87089152.00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,NVDA,2024-04-17 21:54:00,869.692,871.000,869.692,870.115,173272,150830080.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,NVDA,2024-04-18 01:23:00,843.940,843.940,842.795,842.795,105702,88883200.00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,NVDA,2024-04-18 21:39:00,835.210,835.210,830.210,830.210,452798,376848640.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,NVDA,2024-04-18 21:49:00,841.880,845.640,841.655,845.640,347333,293166592.00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NVDA,2024-04-18 22:14:00,848.640,849.064,848.640,848.945,94802,80484352.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,NVDA,2024-04-18 22:40:00,851.840,852.600,851.644,851.644,156811,133688320.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,NVDA,2024-04-19 00:14:00,807.800,807.800,805.710,805.710,142236,114380800.00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,NVDA,2024-04-19 02:09:00,792.780,792.780,790.340,790.450,294208,232370176.00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,NVDA,2024-04-19 02:49:00,773.980,774.305,771.060,771.080,298320,230113280.00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
