,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30
0,2023-12-15 22:31:00,197.53,197.79,198.5,197.05,18081830,1702650660,,,,,,,,,,,36.96889902162316,77.89545745089656,78.83020142682324
1,2023-12-15 22:32:00,197.73,197.86,197.86,197.73,259810,1702650720,,,,,,,,,,,38.43625840837265,77.89545745089656,78.83020142682324
2,2023-12-15 22:33:00,197.875,197.525,197.875,197.525,188704,1702650780,,,,,,,,,,,35.37661385058574,77.89545745089656,78.83020142682324
3,2023-12-15 22:34:00,197.49,197.18,197.492,197.18,239740,1702650840,,,,,,,,,,,28.15256151830559,77.89545745089656,78.83020142682324
4,2023-12-15 22:35:00,197.21,197.355,197.38,197.21,210894,1702650900,,,,,,,,,,,24.080846922027803,75.13318976776871,78.83020142682324
5,2023-12-15 22:36:00,197.24,197.42,197.42,197.14,214036,1702650960,,,,,,,,,,,21.377096680498028,75.13318976776871,78.83020142682324
6,2023-12-15 22:37:00,197.48,197.61,197.61,197.48,189082,1702651020,,,,,,,,,,,21.544445005925226,75.13318976776871,78.83020142682324
7,2023-12-15 22:38:00,197.63,197.63,197.64,197.585,684348,1702651080,,,,,,,,,,,22.029719944860844,75.13318976776871,78.83020142682324
8,2023-12-15 22:39:00,197.585,197.5,197.605,197.4,245476,1702651140,,,,,,,,,,,20.81890628578185,75.13318976776871,78.83020142682324
9,2023-12-15 22:40:00,197.51,197.73,197.92,197.51,581702,1702651200,,,,,,,,,,,22.840973240495472,75.62195604089433,78.83020142682324
10,2023-12-15 22:41:00,197.61,197.55,197.7,197.55,144400,1702651260,,,,,,,,,,,22.33691812120344,75.62195604089433,78.83020142682324
11,2023-12-15 22:42:00,197.5,197.675,197.675,197.5,168306,1702651320,,,,,,,,,,,23.59932119805086,75.62195604089433,78.83020142682324
12,2023-12-15 22:43:00,197.66,197.87,197.87,197.6,152016,1702651380,,,,,,,,,,,27.355814496756864,75.62195604089433,78.83020142682324
13,2023-12-15 22:44:00,197.87,197.99,198.034,197.87,192864,1702651440,,,,,,,,,,,32.33950634188167,75.62195604089433,78.83020142682324
14,2023-12-15 22:45:00,197.99,197.91,197.99,197.89,134336,1702651500,,,,,,,,,,,35.7708410183221,77.44727323076067,78.83020142682324
15,2023-12-15 22:46:00,198.019,197.922,198.13,197.86,210970,1702651560,,,,,,,,,,,39.0226957173805,77.44727323076067,78.83020142682324
16,2023-12-15 22:47:00,197.98,197.77,197.98,197.735,119690,1702651620,,,,,,,,,,,39.94589632023798,77.44727323076067,78.83020142682324
17,2023-12-15 22:48:00,197.755,197.895,198.065,197.755,172988,1702651680,,,,,,,,,,,42.44076853990924,77.44727323076067,78.83020142682324
18,2023-12-15 22:49:00,197.91,197.71,197.92,197.71,154518,1702651740,,,,,,,,,,,42.24614346848456,77.44727323076067,78.83020142682324
19,2023-12-15 22:50:00,197.6,197.7,197.7,197.56,157762,1702651800,,,,,,,,,,,41.95934085291891,77.3359210906107,78.83020142682324
20,2023-12-15 22:51:00,197.66,197.82,197.82,197.66,111238,1702651860,,,,,,,,,,,43.30386086033512,77.3359210906107,78.83020142682324
21,2023-12-15 22:52:00,197.86,197.855,197.9,197.79,88478,1702651920,,,,,,,,,,,44.97994358174567,77.3359210906107,78.83020142682324
22,2023-12-15 22:53:00,197.824,197.84,197.845,197.805,77572,1702651980,,,,,,,,,,,46.28912914873847,77.3359210906107,78.83020142682324
23,2023-12-15 22:54:00,197.86,197.68,197.86,197.68,111370,1702652040,,,,,,,,,,,45.357179113102234,77.3359210906107,78.83020142682324
24,2023-12-15 22:55:00,197.635,197.61,197.666,197.61,121826,1702652100,,,,,,,,,,,43.614257703625526,76.46082846888258,78.83020142682324
25,2023-12-15 22:56:00,197.6,197.54,197.63,197.54,102926,1702652160,,,,,,,,,,,41.151180498281065,76.46082846888258,78.83020142682324
26,2023-12-15 22:57:00,197.61,197.66,197.66,197.605,105094,1702652220,,,,,,,,,,,40.55447320791667,76.46082846888258,78.83020142682324
27,2023-12-15 22:58:00,197.68,197.725,197.78,197.68,111672,1702652280,,,,,,,,,,,40.89811091497242,76.46082846888258,78.83020142682324
28,2023-12-15 22:59:00,197.771,197.87,197.975,197.771,171822,1702652340,,,,,,,,,,,43.13369582077655,76.46082846888258,78.83020142682324
29,2023-12-15 23:00:00,197.87,197.875,197.916,197.87,109598,1702652400,,,,,,,,,,,45.206674736606075,77.7533678166286,78.2884852494908
30,2023-12-15 23:01:00,197.87,197.915,197.915,197.81,237144,1702652460,,,,,,,,,,,47.5916277772517,77.7533678166286,78.2884852494908
31,2023-12-15 23:02:00,197.88,197.77,197.88,197.77,102956,1702652520,,,,,,,,,,,47.81169151326566,77.7533678166286,78.2884852494908
32,2023-12-15 23:03:00,197.765,197.72,197.775,197.72,109300,1702652580,,,,,,,,,,,47.352580895889005,77.7533678166286,78.2884852494908
33,2023-12-15 23:04:00,197.675,197.674,197.77,197.674,131470,1702652640,,,,,,,,,,,46.3412690805405,77.7533678166286,78.2884852494908
34,2023-12-15 23:05:00,197.725,197.59,197.785,197.59,109074,1702652700,,,,,,,,,,,44.33848085651343,76.78434339293848,78.2884852494908
35,2023-12-15 23:06:00,197.597,197.795,197.795,197.597,163712,1702652760,,,,,,,,,,,45.26420281663448,76.78434339293848,78.2884852494908
36,2023-12-15 23:07:00,197.885,197.85,197.885,197.8,126430,1702652820,,,,,,,,,,,46.82269197213584,76.78434339293848,78.2884852494908
37,2023-12-15 23:08:00,197.835,197.865,197.865,197.79,91478,1702652880,,,,,,,,,,,48.415120216224565,76.78434339293848,78.2884852494908
38,2023-12-15 23:09:00,197.85,197.81,197.86,197.81,79226,1702652940,,,,,,,,,,,49.11202805578458,76.78434339293848,78.2884852494908
39,2023-12-15 23:10:00,197.83,197.925,197.945,197.83,102654,1702653000,,,,,,,,,,,51.24949554182939,78.60654904304164,78.2884852494908
40,2023-12-15 23:11:00,197.895,197.775,197.895,197.775,143100,1702653060,,,,,,,,,,,51.17487942228381,78.60654904304164,78.2884852494908
41,2023-12-15 23:12:00,197.76,197.78,197.78,197.69,148996,1702653120,,,,,,,,,,,51.170559188300075,78.60654904304164,78.2884852494908
42,2023-12-15 23:13:00,197.79,197.955,197.955,197.775,133592,1702653180,,,,,,,,,,,53.46963927620459,78.60654904304164,78.2884852494908
43,2023-12-15 23:14:00,197.98,198.168,198.168,197.98,234776,1702653240,,,,,,,,,,,58.319501602739265,78.60654904304164,78.2884852494908
44,2023-12-15 23:15:00,198.195,198.145,198.199,198.115,235594,1702653300,,,,,,,,,,,62.324613007726896,81.97653399005509,78.2884852494908
45,2023-12-15 23:16:00,198.115,198.16,198.16,198.03,129030,1702653360,,,,,,,,,,,69.84726253629938,81.97653399005509,78.2884852494908
46,2023-12-15 23:17:00,198.16,198.2,198.21,198.16,181428,1702653420,,,,,,,,,,,77.04317075914034,81.97653399005509,78.2884852494908
47,2023-12-15 23:18:00,198.22,198.23,198.23,198.17,175032,1702653480,,,,,,,,,,,83.5880915474353,81.97653399005509,78.2884852494908
48,2023-12-15 23:19:00,198.265,198.324,198.345,198.265,179436,1702653540,,,,,,,,,,,89.02932987464558,81.97653399005509,78.2884852494908
49,2023-12-15 23:20:00,198.275,198.222,198.3,198.215,141972,1702653600,,,,,,,,,,,92.1925620576666,85.55371310983007,78.2884852494908
50,2023-12-15 23:21:00,198.225,198.201,198.225,198.19,135756,1702653660,,,,,,,,,,,93.97601336221041,85.55371310983007,78.2884852494908
51,2023-12-15 23:22:00,198.215,198.225,198.235,198.2,86836,1702653720,,,,,,,,,,,95.97400756797317,85.55371310983007,78.2884852494908
52,2023-12-15 23:23:00,198.285,198.36,198.385,198.285,159060,1702653780,,,,,,,,,,,99.6176926091173,85.55371310983007,78.2884852494908
53,2023-12-15 23:24:00,198.33,198.21,198.33,198.21,113260,1702653840,,,,,,,,,,,99.48818627289938,85.55371310983007,78.2884852494908
54,2023-12-15 23:25:00,198.195,198.07,198.195,198.035,138036,1702653900,,,,,,,,,,,96.26653548102523,87.43983227947209,78.2884852494908
55,2023-12-15 23:26:00,198.08,198.18,198.185,198.08,109132,1702653960,,,,,,,,,,,95.69391310684252,87.43983227947209,78.2884852494908
56,2023-12-15 23:27:00,198.215,198.15,198.215,198.084,105742,1702654020,,,,,,,,,,,94.22322630381976,87.43983227947209,78.2884852494908
57,2023-12-15 23:28:00,198.17,198.15,198.17,198.102,79134,1702654080,,,,,,,,,,,92.8441663456693,87.43983227947209,78.2884852494908
58,2023-12-15 23:29:00,198.165,198.161,198.195,198.161,78856,1702654140,,,,,,,,,,,91.79983640047016,87.43983227947209,78.2884852494908
59,2023-12-15 23:30:00,198.23,198.06,198.23,198.035,129358,1702654200,,,,,,,,,,,88.52445027406765,88.97533178266428,78.26733675807083
60,2023-12-15 23:31:00,198.07,198.135,198.135,198.061,110666,1702654260,,,,,,,,,,,87.24753976394841,88.97533178266428,78.26733675807083
61,2023-12-15 23:32:00,198.098,198.14,198.14,198.07,86976,1702654320,,,,,,,,,,,86.17347749025217,88.97533178266428,78.26733675807083
62,2023-12-15 23:33:00,198.102,198.075,198.14,198.075,109672,1702654380,,,,,,,,,,,83.70035306027805,88.97533178266428,78.26733675807083
63,2023-12-15 23:34:00,198.065,198.025,198.09,198.015,125100,1702654440,,,,,,,,,,,80.32454416387736,88.97533178266428,78.26733675807083
64,2023-12-15 23:35:00,197.975,198.0,198.03,197.93,206016,1702654500,,,,,,,,,,,76.7165193946972,89.78832174614509,78.26733675807083
65,2023-12-15 23:36:00,198.005,197.87,198.005,197.86,131516,1702654560,,,,,,,,,,,70.53434176860847,89.78832174614509,78.26733675807083
