,dt,open,close,high,low,vol
0,2024-03-13 21:31:00,417.35,416.58,418.08,414.11,916191
1,2024-03-13 21:32:00,416.07,415.62,416.245,415.62,99606
2,2024-03-13 21:33:00,415.426,414.78,415.51,414.78,117326
3,2024-03-13 21:34:00,414.84,414.99,414.99,414.705,101114
4,2024-03-13 21:35:00,415.649,414.918,415.649,414.918,120697
5,2024-03-13 21:36:00,414.64,414.13,414.665,413.85,143755
6,2024-03-13 21:37:00,413.73,412.91,413.73,412.91,178159
7,2024-03-13 21:38:00,412.66,413.531,413.645,412.66,98125
8,2024-03-13 21:39:00,413.705,413.489,413.705,412.98,85445
9,2024-03-13 21:40:00,413.62,413.475,413.62,413.13,64380
10,2024-03-13 21:41:00,413.53,413.22,413.53,413.16,66416
11,2024-03-13 21:42:00,412.934,413.43,413.43,412.88,111782
12,2024-03-13 21:43:00,413.51,413.009,413.51,412.95,70270
13,2024-03-13 21:44:00,412.9,413.31,413.31,412.9,67214
14,2024-03-13 21:45:00,413.52,413.2,413.52,413.2,69561
15,2024-03-13 21:46:00,412.8,412.3,412.8,412.13,124904
16,2024-03-13 21:47:00,412.37,412.66,412.9,412.37,74887
17,2024-03-13 21:48:00,412.64,412.7,412.7,412.48,32479
18,2024-03-13 21:49:00,412.805,412.15,412.805,412.111,63024
19,2024-03-13 21:50:00,412.15,412.33,412.33,411.909,53241
20,2024-03-13 21:51:00,412.37,412.5,412.57,412.37,74989
21,2024-03-13 21:52:00,412.32,412.21,412.32,412.14,81519
22,2024-03-13 21:53:00,412.19,412.465,412.54,412.19,42833
23,2024-03-13 21:54:00,412.56,412.355,412.56,412.29,36467
24,2024-03-13 21:55:00,412.125,411.58,412.125,411.58,50672
25,2024-03-13 21:56:00,411.87,412.23,412.24,411.87,48108
26,2024-03-13 21:57:00,412.26,412.096,412.26,411.98,32304
27,2024-03-13 21:58:00,412.28,412.06,412.28,411.76,33548
28,2024-03-13 21:59:00,412.07,411.91,412.07,411.854,43853
29,2024-03-13 22:00:00,411.75,411.55,411.88,411.55,38389
30,2024-03-13 22:01:00,411.468,411.122,411.468,411.122,85936
31,2024-03-13 22:02:00,411.2,411.125,411.2,410.8,69540
32,2024-03-13 22:03:00,411.212,411.66,411.66,411.212,66383
33,2024-03-13 22:04:00,411.72,411.42,411.72,411.253,28682
34,2024-03-13 22:05:00,411.35,411.54,411.62,411.35,34972
35,2024-03-13 22:06:00,411.695,411.79,411.955,411.695,84937
36,2024-03-13 22:07:00,411.86,411.86,411.924,411.84,50832
37,2024-03-13 22:08:00,411.75,411.495,411.86,411.495,30023
38,2024-03-13 22:09:00,411.658,411.55,411.658,411.43,32059
39,2024-03-13 22:10:00,411.49,411.74,411.74,411.38,45003
40,2024-03-13 22:11:00,411.66,411.56,411.69,411.42,22940
41,2024-03-13 22:12:00,411.65,411.94,411.944,411.555,71563
42,2024-03-13 22:13:00,412.2,412.53,412.53,412.185,66891
43,2024-03-13 22:14:00,412.56,412.5,412.63,412.42,48491
44,2024-03-13 22:15:00,412.425,412.355,412.425,412.24,46030
45,2024-03-13 22:16:00,412.494,412.642,412.76,412.42,39624
46,2024-03-13 22:17:00,412.7,412.12,412.7,412.07,40243
47,2024-03-13 22:18:00,412.205,411.963,412.205,411.835,35864
48,2024-03-13 22:19:00,411.99,412.04,412.133,411.9,58302
49,2024-03-13 22:20:00,412.19,412.168,412.45,412.168,30863
50,2024-03-13 22:21:00,412.188,412.56,412.591,412.188,24294
51,2024-03-13 22:22:00,412.57,412.22,412.57,412.22,53984
52,2024-03-13 22:23:00,412.292,412.26,412.405,412.26,24785
53,2024-03-13 22:24:00,411.998,412.009,412.05,411.86,62160
54,2024-03-13 22:25:00,412.0,412.2,412.33,412.0,54344
55,2024-03-13 22:26:00,412.33,412.4,412.61,412.33,47396
56,2024-03-13 22:27:00,412.43,412.13,412.43,412.13,36237
57,2024-03-13 22:28:00,412.4,412.155,412.4,412.155,34520
58,2024-03-13 22:29:00,412.12,411.95,412.16,411.91,30798
59,2024-03-13 22:30:00,412.155,412.05,412.239,412.05,19312
60,2024-03-13 22:31:00,412.0,412.27,412.27,412.0,32958
61,2024-03-13 22:32:00,412.215,412.29,412.29,412.12,23471
62,2024-03-13 22:33:00,412.51,412.545,412.63,412.51,25722
63,2024-03-13 22:34:00,412.72,413.14,413.14,412.72,58549
64,2024-03-13 22:35:00,413.14,412.995,413.205,412.995,50075
65,2024-03-13 22:36:00,413.005,412.74,413.005,412.74,47405
66,2024-03-13 22:37:00,412.64,412.61,412.909,412.61,34864
67,2024-03-13 22:38:00,412.624,412.66,412.73,412.445,33229
68,2024-03-13 22:39:00,412.83,412.899,412.899,412.64,29337
69,2024-03-13 22:40:00,412.71,412.685,412.77,412.685,20714
70,2024-03-13 22:41:00,412.81,413.09,413.09,412.77,22147
