,dt,open,close,high,low,vol,ts,close_nxt30min,close_diff_nxt30min,close_diffrate_nxt30min,label1,k,d,j,duanxian,pianliEMA,pianli,atr,obv,m5,m10,predict_score
7910,2024-02-01 00:21:00,53.455,53.425,53.455,53.408,86840,1706718060,53.372,-0.05299999999999727,-0.0009920449227889055,False,62.86910809061066,35.12998525415147,118.34735376352903,72.60269138717372,0.009886512435175274,0.009716739383690786,0.05707142857142854,-9579522,-9569304.325921236,-9493687.04158784,0.5925076
7911,2024-02-01 00:22:00,53.447,53.485,53.485,53.447,72580,1706718120,53.36,-0.125,-0.002337103860895578,False,65.34450088456995,37.14428629617937,121.74493006135113,79.16969930604807,0.009960306541643912,0.010107894754581188,0.05707142857142854,-9506942,-9548516.883947492,-9494206.843878513,0.5925076
7913,2024-02-01 00:24:00,53.452,53.443,53.475,53.43,115060,1706718240,53.22,-0.22299999999999898,-0.004172669947420597,False,68.81556984255398,41.133025994341224,124.18065753897949,66.50279625114419,0.009677474763851099,0.009124272736773076,0.05200000000000011,-9777606,-9650219.726198886,-9511663.188063173,0.5925076
7914,2024-02-01 00:25:00,53.397,53.371,53.425,53.36,142380,1706718300,53.31,-0.06099999999999994,-0.0011429427966498649,False,69.41428700051843,43.018443394753035,122.20597421204923,46.70260273785871,0.00885418874644917,0.007207616711645313,0.05457142857142827,-9919986,-9740141.817465924,-9527675.847354813,0.5925076
7915,2024-02-01 00:26:00,53.355,53.335,53.355,53.324,198680,1706718360,53.39,0.054999999999999716,0.0010312177744445433,False,69.5724219016525,44.78870862854634,119.13984844786485,27.722212204164265,0.007647824623954366,0.005235096378964755,0.054357142857143055,-10118666,-9866316.544977283,-9550851.931772271,0.52681
7917,2024-02-01 00:28:00,53.265,53.341,53.341,53.265,102762,1706718480,53.439,0.09799999999999898,0.001837235897339738,False,69.09353085469574,47.90491038608597,111.47077179191527,5.970216450939148,0.004692346449149275,0.0021936128472110935,0.05700000000000013,-10246518,-10100375.57554546,-9608215.980078904,0.5743014
7918,2024-02-01 00:29:00,53.315,53.352,53.375,53.315,130708,1706718540,53.44,0.08800000000000097,0.0016494227020542992,False,69.46225372815563,49.34206660889062,109.70262796668564,10.813433180827019,0.0038319343916901243,0.0021111102767718227,0.05735714285714317,-10115810,-10105520.383696973,-9628121.627918947,0.5743014
7920,2024-02-01 00:31:00,53.355,53.33,53.397,53.33,109120,1706718660,53.415,0.08500000000000085,0.001593849615600991,False,69.81002735448254,51.975085733335156,105.47991059677732,23.863922254396186,0.0026084468655291956,0.00145543957466464,0.05621428571428666,-10415338,-10253392.392754212,-9684542.048686426,0.5743014
7921,2024-02-01 00:32:00,53.328,53.337,53.358,53.315,97500,1706718720,53.475,0.13799999999999812,0.0025873221216041044,False,69.96403888644308,53.17434927687569,103.54341810557787,28.188470140343497,0.00215949423301613,0.0012615889679899984,0.05721428571428636,-10317838,-10274874.261836141,-9709377.184032056,0.5743014
7922,2024-02-01 00:33:00,53.353,53.265,53.353,53.265,64470,1706718780,53.526,0.2610000000000028,0.004900028161081438,True,69.3064474236741,54.24982248666225,99.4196972976978,14.767534289152408,0.00140718798780529,-9.742450261639046e-05,0.05978571428571503,-10382308,-10310685.50789076,-9735766.627795506,0.5743014
7923,2024-02-01 00:34:00,53.285,53.295,53.296,53.28,69304,1706718840,53.545,0.25,0.004690871563936579,True,69.02658520811701,55.2349400014259,96.60987562149924,7.867860325539482,0.0007852319374239216,-0.0004586801633388157,0.0605000000000006,-10313004,-10311458.33859384,-9758403.387489801,0.578834
7924,2024-02-01 00:35:00,53.29,53.3,53.315,53.265,82524,1706718900,53.595,0.2950000000000017,0.0055347091932458105,True,68.82102877632377,56.14067925308576,94.1817278227998,3.215856431347362,0.0003240008174245078,-0.00059846142257432,0.060714285714286324,-10230480,-10284465.559062561,-9776916.195823533,0.578834
7925,2024-02-01 00:36:00,53.295,53.295,53.295,53.275,63200,1706718960,53.63,0.33500000000000085,0.006285767895675032,True,68.57352780392337,56.9695358231416,91.78151176548693,1.405951862036602,-3.789217532055775e-05,-0.0007616781608106891,0.05821428571428606,-10293680,-10287537.03937504,-9797181.44304614,0.5743014
7927,2024-02-01 00:38:00,53.315,53.37,53.37,53.296,64342,1706719080,53.635,0.26500000000000057,0.004965336331272261,True,68.96704204383343,58.477714861287936,89.94569640892442,21.885965357639776,-7.802872569294164e-05,0.00037320780080672374,0.059642857142857206,-10148294,-10224478.017500019,-9826603.983373234,0.5743014
7928,2024-02-01 00:39:00,53.385,53.342,53.385,53.342,97308,1706719140,53.655,0.3130000000000024,0.005867796483071546,True,69.22686068144722,59.19432458263189,89.29193287907788,31.259599244758405,0.0001686055261560798,0.0006618740298541228,0.056785714285714405,-10245602,-10231519.345000014,-9843035.27814291,0.5743014
7929,2024-02-01 00:40:00,53.335,53.37,53.39,53.335,53876,1706719200,53.675,0.3049999999999997,0.005714821060520887,True,69.78203256008217,59.90017178112858,89.54575411798936,44.421515941587984,0.0005458904990121706,0.0013004604447243522,0.05735714285714266,-10191726,-10218254.896666676,-9856709.424098091,0.5206971
7930,2024-02-01 00:41:00,53.366,53.305,53.366,53.305,118740,1706719260,53.625,0.3200000000000003,0.006003189194259456,True,69.57434150052117,60.54511642908808,87.63279164338735,37.26883515299633,0.0005608098389000705,0.0005906485186758701,0.05621428571428514,-10310466,-10248991.931111118,-9874503.799623657,0.5743014
7931,2024-02-01 00:42:00,53.315,53.305,53.315,53.275,127184,1706719320,53.618,0.3130000000000024,0.005871869430635069,True,69.38049651159757,61.134141767922046,85.8732059989486,29.429210863388818,0.00041686344800408946,0.0001289706662121272,0.052928571428570895,-10437650,-10311877.95407408,-9896587.964344297,0.5743014
7932,2024-02-01 00:43:00,53.33,53.335,53.36,53.305,89772,1706719380,53.595,0.259999999999998,0.004874847661010556,True,69.53458289714493,61.694171176536905,85.21540633836098,29.79156170482102,0.0003898795741396745,0.0003359118264108445,0.05257142857142786,-10347878,-10323877.96938272,-9914285.612801382,0.5743014
