,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,close_nxt30min,close_diff_nxt30min,close_diffrate_nxt30min,label1,k,d,j,duanxian,pianliEMA,pianli,atr,obv,m5,m10,predict_score,ts_diff
5026,2024/3/19 22:15,58.015,57.945,58.03,57.945,139936,1710857700,,,,,,,,,,,27.86915478,6.691528844,71.90409045,58.225,0.28,0.004832168,TRUE,24.40944882,24.40944882,24.40944882,-0.532270394,0.002925031,0.001544828,0.097285714,-5974692,-5821858.234,-5812806.301,0.509248,65820
5027,2024/3/20 1:16,59.285,59.24,59.292,59.24,126844,1710868560,,,,,,,,,,,53.08802774,94.16357553,61.23130213,59.631,0.391,0.00660027,TRUE,74.88261409,85.78003613,53.08777001,16.61430745,0.001561521,-0.000500441,0.085357143,-4127296,-4020766.852,-4354374.348,0.5315014,10860
5038,2024/3/20 1:54,59.435,59.395,59.435,59.395,102776,1710870840,,,,,,,,,,,65.65641702,111.2063635,65.32755899,59.565,0.17,0.002862194,TRUE,64.45759205,63.8581908,65.65639456,-9.273197262,0.00194354,-0.000716653,0.065071429,-4087140,-3929664.72,-3909851.031,0.5315014,2280
5060,2024/3/20 2:57,59.485,59.465,59.485,59.465,126288,1710874620,,,,,,,,,,,76.65780993,115.6760709,73.32186234,59.12,-0.345,-0.005801732,FALSE,72.8461863,70.94037466,76.65780956,6.13602376,-0.000882821,-0.003950834,0.051,-4401492,-4269427.754,-4109129.652,0.5315014,3780
5090,2024/3/20 3:27,59.19,59.12,59.21,59.12,112552,1710876420,,,,,,,,,,,-4.034056917,95.79013303,76.45291329,59.675,0.555,0.009387686,TRUE,25.00997298,39.53198795,-4.034056968,1.35221283,-0.008139158,-0.008157734,0.077928571,-5349020,-5268346.916,-4651284.666,0.5351682,1800
5103,2024/3/20 21:52,59.465,59.47,59.5,59.43,217673,1710942720,,,,,,,,,,,25.53726469,70.49046214,59.69894865,59.57,0.1,0.00168152,TRUE,,,,16.65296118,-0.016332347,-0.015006797,0.089071429,-4775368,-4704831.209,-3587862.968,0.53949755,66300
5133,2024/3/20 22:22,59.53,59.57,59.57,59.52,35448,1710944520,,,,,,,,,,,21.15052098,44.39228298,62.15507913,59.555,-0.015,-0.000251805,FALSE,31.05744671,31.18975072,30.79283869,23.76782461,-0.001682036,-0.001619129,0.062,-4946866,-4912415.297,-4395101.979,0.5360209,1800
5150,2024/3/20 22:52,59.51,59.555,59.555,59.485,126398,1710946320,,,,,,,,,,,6.684875508,38.71184859,66.23365488,59.725,0.17,0.002854504,TRUE,31.34999555,42.41744063,9.215105368,17.11195448,-0.00494695,-0.004391,0.053357143,-4584643,-4659564.677,-4440009.088,0.5315014,1800
5162,2024/3/20 23:33,59.719,59.685,59.73,59.685,43166,1710948780,,,,,,,,,,,99.38851725,44.93798721,70.83848508,59.65,-0.035,-0.000586412,FALSE,70.52263257,55.96190993,99.64407786,2.673902979,0.001926038,0.000463814,0.043571429,-4402934,-4251657.628,-4313010.23,0.5360209,2460
5185,2024/3/21 0:04,59.65,59.655,59.67,59.625,72564,1710950640,,,,,,,,,,,50.04173829,43.16978073,72.96662057,59.53,-0.125,-0.002095382,FALSE,50.38325325,50.53423554,50.08128867,15.82566463,0.001061989,0.000486947,0.037428571,-4283696,-4316174.99,-4401112.855,0.5360209,1860
