,阈值,买入次数,胜率,收益率
0,0.0,41683,0.4845380610800566,2.2608240367033776
1,0.1,41683,0.4845380610800566,2.2608240367033776
2,0.2,41397,0.4856390559702394,2.2944029216816295
3,0.30000000000000004,39502,0.4881524986076654,3.572807697438061
4,0.4,18820,0.5035069075451647,2.4668595525882697
5,0.5,8110,0.5203452527743526,2.175140858747353
6,0.6000000000000001,182,0.6758241758241759,0.21753381766207375
