,dt,open,close,high,low,vol,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw5,jw30
0,2024-04-03 21:31:00,884.84,885.38,892.4,883.08,1181009.0,,,,,,,,,,,,
1,2024-04-03 21:32:00,886.76,889.26,889.26,886.71,305982.0,,,,,,,,,,,,
2,2024-04-03 21:33:00,888.14,888.58,890.23,887.0,276028.0,,,,,,,,,,,,
3,2024-04-03 21:34:00,888.91,888.6,888.91,886.87,176004.0,,,,,,,,,,,,
4,2024-04-03 21:35:00,889.0,889.85,890.01,888.66,209244.0,,,,,,,,,,,,
5,2024-04-03 21:36:00,890.3,890.43,891.17,890.3,190227.0,,,,,,,,,,,,
6,2024-04-03 21:37:00,890.4,890.84,890.84,889.05,164711.0,,,,,,,,,,,,
7,2024-04-03 21:38:00,891.44,890.99,892.51,889.96,275597.0,,,,,,,,,,,,
8,2024-04-03 21:39:00,890.0,888.66,890.0,888.66,186530.0,,,,,,,,,,,,
9,2024-04-03 21:40:00,888.44,888.66,888.66,887.6,158157.0,,,,,,,,,,,,
10,2024-04-03 21:41:00,888.35,888.0,888.86,887.79,148497.0,,,,,,,,,,,,
11,2024-04-03 21:42:00,887.82,888.2,888.69,887.82,183085.0,,,,,,,,,,,,
12,2024-04-03 21:43:00,887.27,886.88,887.32,886.38,174581.0,,,,,,,,,,,,
13,2024-04-03 21:44:00,886.8,886.76,886.99,885.93,157106.0,,,,,,,,,,,,
14,2024-04-03 21:45:00,887.33,886.0,887.43,886.0,144284.0,,,,,,,,,,,,
15,2024-04-03 21:46:00,885.88,886.45,887.29,885.88,135119.0,,,,,,,,,,,,
16,2024-04-03 21:47:00,886.33,887.67,887.67,886.33,116895.0,,,,,,,,,,,,
17,2024-04-03 21:48:00,887.63,889.64,889.64,887.63,169874.0,,,,,,,,,,,,
18,2024-04-03 21:49:00,889.61,888.07,889.79,888.07,161211.0,,,,,,,,,,,,
19,2024-04-03 21:50:00,887.84,888.09,888.09,887.33,92031.0,,,,,,,,,,,,
20,2024-04-03 21:51:00,888.68,889.68,889.68,888.68,131824.0,,,,,,,,,,,,
21,2024-04-03 21:52:00,889.81,891.23,891.23,889.81,192849.0,,,,,,,,,,,,
22,2024-04-03 21:53:00,890.29,889.86,890.46,889.49,123639.0,,,,,,,,,,,,
23,2024-04-03 21:54:00,890.16,889.77,890.16,889.69,81704.0,,,,,,,,,,,,
24,2024-04-03 21:55:00,889.94,890.62,890.62,889.9,93204.0,,,,,,,,,,,,
25,2024-04-03 21:56:00,891.53,891.41,892.02,891.09,198458.0,,,,,,,,,,,,
26,2024-04-03 21:57:00,891.03,890.42,891.66,890.42,114423.0,,,,,,,,,,,,
27,2024-04-03 21:58:00,889.91,889.29,890.32,889.29,118486.0,,,,,,,,,,,,
28,2024-04-03 21:59:00,889.74,888.6,889.74,888.6,115769.0,,,,,,,,,,,,
29,2024-04-03 22:00:00,888.47,888.88,889.0,888.42,99091.0,,,,,,,,,,,,
30,2024-04-03 22:01:00,892.28,893.06,894.37,892.01,402690.0,,,,,,,,,,,,
31,2024-04-03 22:02:00,894.85,895.79,895.79,894.66,283605.0,,,,,,,,,,,,
32,2024-04-03 22:03:00,895.37,895.57,896.34,895.37,225927.0,,,,,,,,,,,,
33,2024-04-03 22:04:00,894.77,896.33,896.71,894.75,250265.0,,1.0,,,,,,,,,,
34,2024-04-03 22:05:00,895.85,897.56,897.56,895.85,239755.0,,,,,,,,,,,,
35,2024-04-03 22:06:00,897.72,898.66,898.66,897.3,255640.0,,,,,,,,,,,,
36,2024-04-03 22:07:00,898.82,898.61,899.31,898.27,261732.0,,,,,,,,,,,,
37,2024-04-03 22:08:00,899.42,897.85,899.55,897.85,237446.0,,,,,,,,,,,,
38,2024-04-03 22:09:00,898.24,897.3,898.41,897.3,156873.0,,,,,,,,,,,,
39,2024-04-03 22:10:00,897.58,895.61,897.58,895.61,163593.0,,,,,,,,,,,,
40,2024-04-03 22:11:00,895.49,896.28,896.57,895.49,199652.0,,,,,,,,,,,,
41,2024-04-03 22:12:00,896.16,895.75,896.16,895.51,122031.0,,,,,,,,,,,,
42,2024-04-03 22:13:00,895.53,895.7,895.7,894.82,153748.0,,,,,,,,,,,,
43,2024-04-03 22:14:00,895.68,895.23,895.68,895.02,87396.0,,,,,,,,,,,,
44,2024-04-03 22:15:00,895.65,896.59,896.83,895.65,197939.0,,,,,,,,,,,,
45,2024-04-03 22:16:00,897.71,898.09,898.19,897.71,193423.0,,,,,,,,,,,,
46,2024-04-03 22:17:00,897.52,897.58,898.39,897.52,111411.0,,,,,,,,,,,,
47,2024-04-03 22:18:00,897.68,897.7,898.71,897.63,141477.0,,,,,,,,,,,,
48,2024-04-03 22:19:00,898.26,898.53,898.67,898.06,113467.0,,,,,,,,,,,,
49,2024-04-03 22:20:00,898.61,899.71,899.71,898.55,191259.0,,,,,,,,,,,,
50,2024-04-03 22:21:00,899.72,900.18,900.22,899.33,228966.0,,,,,,,,,,,,
51,2024-04-03 22:22:00,900.23,900.6,900.61,899.36,253963.0,,,,,,,,,,,,
