,dt,open,close,high,low,vol
0,2023-09-26 21:31:00,312.88,312.72,314.65,312.58,611666
1,2023-09-26 21:32:00,312.57,312.23,312.57,312.095,114699
2,2023-09-26 21:33:00,312.105,312.18,312.37,312.105,173405
3,2023-09-26 21:34:00,312.215,312.17,312.515,312.17,82204
4,2023-09-26 21:35:00,312.07,312.235,312.329,312.06,102495
5,2023-09-26 21:36:00,312.267,312.24,312.65,312.24,119159
6,2023-09-26 21:37:00,312.31,312.64,312.64,312.18,123890
7,2023-09-26 21:38:00,312.49,313.01,313.01,312.385,165317
8,2023-09-26 21:39:00,312.97,313.31,313.31,312.84,107965
9,2023-09-26 21:40:00,313.215,313.31,313.44,313.145,116971
10,2023-09-26 21:41:00,313.27,313.03,313.44,313.03,63428
11,2023-09-26 21:42:00,313.09,312.94,313.17,312.825,66863
12,2023-09-26 21:43:00,313.1,313.178,313.225,313.0,59604
13,2023-09-26 21:44:00,312.9,312.355,312.91,312.355,75219
14,2023-09-26 21:45:00,312.57,312.32,312.59,312.32,73848
15,2023-09-26 21:46:00,312.162,312.17,312.195,312.15,72582
16,2023-09-26 21:47:00,312.22,312.523,312.57,312.2,50363
17,2023-09-26 21:48:00,312.434,312.16,312.434,312.15,54571
18,2023-09-26 21:49:00,312.29,312.3,312.44,312.29,56542
19,2023-09-26 21:50:00,312.52,312.41,312.52,312.4,49161
20,2023-09-26 21:51:00,312.06,312.055,312.15,312.05,98278
21,2023-09-26 21:52:00,311.85,312.03,312.03,311.85,117304
22,2023-09-26 21:53:00,311.99,311.64,311.99,311.64,98341
23,2023-09-26 21:54:00,311.775,311.701,311.775,311.594,86355
24,2023-09-26 21:55:00,311.675,311.26,311.735,311.26,93426
25,2023-09-26 21:56:00,311.37,311.31,311.39,311.19,90179
26,2023-09-26 21:57:00,311.22,311.549,311.549,311.22,76626
27,2023-09-26 21:58:00,311.48,311.079,311.48,311.079,40822
28,2023-09-26 21:59:00,311.01,310.994,311.148,310.95,39791
29,2023-09-26 22:00:00,311.16,311.01,311.16,311.01,35111
30,2023-09-26 22:01:00,310.98,311.225,311.225,310.98,79142
31,2023-09-26 22:02:00,311.27,311.33,311.41,311.27,42834
32,2023-09-26 22:03:00,311.35,311.015,311.35,311.015,44819
33,2023-09-26 22:04:00,311.21,311.0,311.21,310.97,46285
34,2023-09-26 22:05:00,310.99,310.855,310.99,310.83,81419
35,2023-09-26 22:06:00,310.835,310.857,310.857,310.68,86047
36,2023-09-26 22:07:00,311.123,310.94,311.125,310.903,70526
37,2023-09-26 22:08:00,311.025,310.88,311.025,310.85,42037
38,2023-09-26 22:09:00,310.855,310.81,310.87,310.81,79188
39,2023-09-26 22:10:00,310.82,310.7,310.89,310.59,99560
40,2023-09-26 22:11:00,310.391,310.435,310.46,310.37,106103
41,2023-09-26 22:12:00,310.6,310.44,310.6,310.44,71164
42,2023-09-26 22:13:00,310.37,310.34,310.49,310.34,64393
43,2023-09-26 22:14:00,310.37,310.11,310.37,310.11,72705
44,2023-09-26 22:15:00,310.13,309.84,310.13,309.84,82421
45,2023-09-26 22:16:00,309.79,309.68,309.889,309.67,140877
46,2023-09-26 22:17:00,309.785,309.7,309.84,309.7,119609
