,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30
0,2023-07-25 21:31:00,42.503,42.553,42.813,42.443,3470854,1690291860,,,,,,,,,,,79.43699522334943,24.311653340312006,14.710807746976162
1,2023-07-25 21:32:00,42.558,42.703,42.703,42.558,624143,1690291920,,,,,,,,,,,84.34204152897064,24.311653340312006,14.710807746976162
2,2023-07-25 21:33:00,42.733,42.683,42.733,42.648,288020,1690291980,,,,,,,,,,,88.17124527962214,24.311653340312006,14.710807746976162
3,2023-07-25 21:34:00,42.703,42.763,42.793,42.703,461177,1690292040,,,,,,,,,,,93.3108022080474,24.311653340312006,14.710807746976162
4,2023-07-25 21:35:00,42.753,42.763,42.763,42.703,355248,1690292100,,,,,,,,,,,97.79120209609592,35.237524832985656,14.710807746976162
5,2023-07-25 21:36:00,42.738,42.853,42.853,42.723,554380,1690292160,,,,,,,,,,,102.81505621148006,35.237524832985656,14.710807746976162
6,2023-07-25 21:37:00,42.853,42.803,42.853,42.783,412756,1690292220,,,,,,,,,,,106.09302140519388,35.237524832985656,14.710807746976162
7,2023-07-25 21:38:00,42.828,42.744,42.828,42.744,268080,1690292280,,1.0,,,,,,,,,107.61484755557369,35.237524832985656,14.710807746976162
8,2023-07-25 21:39:00,42.673,42.723,42.723,42.653,499865,1690292340,,,,,,,,,,,108.39557234632423,35.237524832985656,14.710807746976162
9,2023-07-25 21:40:00,42.698,42.654,42.703,42.654,264779,1690292400,,,,,,,,,,,107.47421531725303,41.83240005118441,14.710807746976162
10,2023-07-25 21:41:00,42.693,42.781,42.781,42.693,369685,1690292460,,,,,,,,,,,109.29596799476106,41.83240005118441,14.710807746976162
11,2023-07-25 21:42:00,42.763,42.748,42.763,42.748,200623,1690292520,,,,,,,,,,,110.08857127749435,41.83240005118441,14.710807746976162
12,2023-07-25 21:43:00,42.703,42.733,42.733,42.693,244136,1690292580,,,,,,,,,,,110.35539083043196,41.83240005118441,14.710807746976162
13,2023-07-25 21:44:00,42.753,42.758,42.763,42.743,188292,1690292640,,,,,,,,,,,111.02411958073453,41.83240005118441,14.710807746976162
14,2023-07-25 21:45:00,42.741,42.79,42.79,42.683,225766,1690292700,,,,,,,,,,,112.18890400759153,50.68882209961804,14.710807746976162
15,2023-07-25 21:46:00,42.813,42.964,42.964,42.813,698443,1690292760,,,,,,,,,,,114.50111189510653,50.68882209961804,14.710807746976162
16,2023-07-25 21:47:00,42.967,42.953,42.982,42.953,357849,1690292820,,,,,,,,,,,115.8759331732613,50.68882209961804,14.710807746976162
17,2023-07-25 21:48:00,42.933,42.908,42.933,42.907,286584,1690292880,,,,,,,,,,,116.09750916219927,50.68882209961804,14.710807746976162
18,2023-07-25 21:49:00,42.922,42.923,42.943,42.913,226945,1690292940,,,,,,,,,,,116.48223693915426,50.68882209961804,14.710807746976162
19,2023-07-25 21:50:00,42.948,42.943,42.958,42.943,196079,1690293000,,,,,,,,,,,117.1134177998256,59.220589010898166,14.710807746976162
20,2023-07-25 21:51:00,42.963,42.943,42.978,42.943,446061,1690293060,,,,,,,,,,,117.56920618977333,59.220589010898166,14.710807746976162
21,2023-07-25 21:52:00,42.953,42.863,42.953,42.863,308085,1690293120,,,,,,,,,,,116.28419819891741,59.220589010898166,14.710807746976162
22,2023-07-25 21:53:00,42.868,42.912,42.912,42.853,382855,1690293180,,,,,,,,,,,116.00899065217678,59.220589010898166,14.710807746976162
23,2023-07-25 21:54:00,42.883,42.953,42.958,42.883,224572,1690293240,,,,,,,,,,,116.4786472602909,59.220589010898166,14.710807746976162
24,2023-07-25 21:55:00,42.951,42.948,42.983,42.948,234676,1690293300,,,,,,,,,,,116.67198745147468,66.8931880067419,14.710807746976162
25,2023-07-25 21:56:00,42.903,42.931,42.931,42.903,274132,1690293360,,,,,,,,,,,116.3796754621238,66.8931880067419,14.710807746976162
26,2023-07-25 21:57:00,42.963,43.073,43.073,42.943,481440,1690293420,,,,,,,,,,,117.10161005204924,66.8931880067419,14.710807746976162
27,2023-07-25 21:58:00,43.056,43.083,43.143,43.056,455509,1690293480,,,,,,,,,,,116.59765250156099,66.8931880067419,14.710807746976162
28,2023-07-25 21:59:00,43.103,43.063,43.103,43.053,264767,1690293540,,,,,,,,,,,115.70802601655942,66.8931880067419,14.710807746976162
29,2023-07-25 22:00:00,43.053,43.093,43.093,43.003,231723,1690293600,,,,,,,,,,,115.35889677322749,73.55416616617913,18.82922376756313
30,2023-07-25 22:01:00,43.043,43.076,43.076,43.043,553285,1690293660,,,,,,,,,,,114.6665865719539,73.55416616617913,18.82922376756313
31,2023-07-25 22:02:00,43.068,43.153,43.153,43.068,368345,1690293720,,,,,,,,,,,115.1510108061232,73.55416616617913,18.82922376756313
32,2023-07-25 22:03:00,43.162,43.078,43.163,43.078,264107,1690293780,,,,,,,,,,,114.0355748431092,73.55416616617913,18.82922376756313
