,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30
0,2022-03-11 22:31:00,45.387,45.257,46.767,44.147,5127179,1647009060,,,,,,,,,,,72.9919961567192,103.04439160202499,55.547647261667024
1,2022-03-11 22:32:00,45.317,45.457,45.487,45.317,630042,1647009120,,,,,,,,,,,71.75931712173143,103.04439160202499,55.547647261667024
2,2022-03-11 22:33:00,45.357,45.077,45.357,45.077,730298,1647009180,,,,,,,,,,,68.13374607071971,103.04439160202499,55.547647261667024
3,2022-03-11 22:34:00,45.077,45.057,45.077,44.947,735246,1647009240,,,,,,,,,,,64.73029545386389,103.04439160202499,55.547647261667024
4,2022-03-11 22:35:00,45.087,45.047,45.127,45.007,471513,1647009300,,,,,,,,,,,61.597654747109544,98.76731169465151,55.547647261667024
5,2022-03-11 22:36:00,44.997,45.127,45.127,44.987,397938,1647009360,,,,,,,,,,,59.30035625111577,98.76731169465151,55.547647261667024
6,2022-03-11 22:37:00,45.047,44.992,45.047,44.962,351982,1647009420,,,,,,,,,,,56.35072769731207,98.76731169465151,55.547647261667024
7,2022-03-11 22:38:00,45.047,45.177,45.202,45.007,414217,1647009480,,,,,,,,,,,54.91269915270607,98.76731169465151,55.547647261667024
8,2022-03-11 22:39:00,45.117,44.877,45.117,44.877,410077,1647009540,,,,,,,,,,,51.66245229474056,98.76731169465151,55.547647261667024
9,2022-03-11 22:40:00,44.757,44.677,44.777,44.677,623761,1647009600,,,,,,,,,,,47.45475756464418,93.20980249871822,55.547647261667024
10,2022-03-11 22:41:00,44.557,44.387,44.557,44.387,752333,1647009660,,,,,,,,,,,41.81435199882827,93.20980249871822,55.547647261667024
11,2022-03-11 22:42:00,44.497,44.497,44.537,44.497,533633,1647009720,,,,,,,,,,,37.51600059997601,93.20980249871822,55.547647261667024
12,2022-03-11 22:43:00,44.522,44.567,44.567,44.412,585610,1647009780,1.0,,,,,,,,1.0,,34.16161436851482,93.20980249871822,55.547647261667024
13,2022-03-11 22:44:00,44.587,44.627,44.667,44.587,640952,1647009840,,,,,,,,,,,31.589827557588364,93.20980249871822,55.547647261667024
14,2022-03-11 22:45:00,44.664,44.617,44.726,44.567,568099,1647009900,,,,,,,,,,,29.2637237661244,87.91212471322338,55.547647261667024
15,2022-03-11 22:46:00,44.642,44.757,44.787,44.642,409932,1647009960,,,,,,,,,,,28.138843074434376,87.91212471322338,55.547647261667024
16,2022-03-11 22:47:00,44.757,44.812,44.812,44.677,351853,1647010020,,,,,,,,,,,27.532178995811933,87.91212471322338,55.547647261667024
17,2022-03-11 22:48:00,44.822,44.647,44.822,44.607,459834,1647010080,,,,,,,,,,,25.953014291179358,87.91212471322338,55.547647261667024
18,2022-03-11 22:49:00,44.667,44.617,44.667,44.517,364745,1647010140,,,,,,,,,,,24.38922962913982,87.91212471322338,55.547647261667024
19,2022-03-11 22:50:00,44.61,44.597,44.61,44.482,207590,1647010200,,,,,,,,,,,22.906467856626506,83.0373184296142,55.547647261667024
20,2022-03-11 22:51:00,44.557,44.892,44.892,44.557,512865,1647010260,,,,,,,,,,,23.55244983381442,83.0373184296142,55.547647261667024
21,2022-03-11 22:52:00,44.887,44.747,44.887,44.737,296555,1647010320,,,,,,,,,,,23.224752984131285,83.0373184296142,55.547647261667024
22,2022-03-11 22:53:00,44.687,44.707,44.707,44.617,266624,1647010380,,,,,,,,,,,22.713204598724303,83.0373184296142,55.547647261667024
23,2022-03-11 22:54:00,44.682,44.557,44.682,44.557,212450,1647010440,,,,,,,,,,,21.01886908747244,83.0373184296142,55.547647261667024
24,2022-03-11 22:55:00,44.447,44.337,44.447,44.337,482883,1647010500,,,,,,,,,,,18.0867409170188,77.47504178215026,55.547647261667024
25,2022-03-11 22:56:00,44.297,44.167,44.297,44.157,607007,1647010560,,,,,,,,,,,14.388266763127334,77.47504178215026,55.547647261667024
26,2022-03-11 22:57:00,44.127,44.167,44.167,44.027,622386,1647010620,,,,,,,,,,,11.144348827924503,77.47504178215026,55.547647261667024
27,2022-03-11 22:58:00,44.157,44.127,44.157,44.097,195704,1647010680,,,,,,,,,,,8.044460329207624,77.47504178215026,55.547647261667024
28,2022-03-11 22:59:00,44.212,44.174,44.227,44.147,297868,1647010740,,,,,,,,,,,5.6569467721916595,77.47504178215026,55.547647261667024
29,2022-03-11 23:00:00,44.187,44.225,44.225,44.187,183360,1647010800,,,,,,,,,,,3.93451616695927,71.97470509450471,56.853496461155956
30,2022-03-11 23:01:00,44.237,43.887,44.237,43.841,629020,1647010860,,,,,,,,,,,0.5837157466921354,71.97470509450471,56.853496461155956
31,2022-03-11 23:02:00,43.762,43.877,43.877,43.737,572348,1647010920,,,,,,,,,,,-1.7482373122688557,71.97470509450471,56.853496461155956
32,2022-03-11 23:03:00,43.837,43.777,43.857,43.777,274820,1647010980,,,,,,,,,,,-4.382051941677858,71.97470509450471,56.853496461155956
33,2022-03-11 23:04:00,43.757,43.782,43.782,43.587,562552,1647011040,,,,,,,,,,,-5.7314382292064465,71.97470509450471,56.853496461155956
34,2022-03-11 23:05:00,43.732,43.707,43.732,43.662,230440,1647011100,,,,,,,1.0,,,,-7.304910642514514,64.7218473970724,56.853496461155956
35,2022-03-11 23:06:00,43.817,43.877,43.917,43.737,407980,1647011160,,,,,,,,,,,-7.604679014175524,64.7218473970724,56.853496461155956
36,2022-03-11 23:07:00,43.857,43.947,43.947,43.817,380672,1647011220,,,,,,,,,,,-7.3707960671787305,64.7218473970724,56.853496461155956
37,2022-03-11 23:08:00,43.887,43.837,43.922,43.837,442908,1647011280,,,,,,,,,,,-7.745060644819837,64.7218473970724,56.853496461155956
38,2022-03-11 23:09:00,43.827,43.896,43.896,43.827,115112,1647011340,,,,,,,,,,,-7.6471463654370595,64.7218473970724,56.853496461155956
39,2022-03-11 23:10:00,43.876,43.497,43.876,43.467,616168,1647011400,,,,,,,,,,,-9.167963935800607,57.30072712327784,56.853496461155956
40,2022-03-11 23:11:00,43.562,43.697,43.747,43.562,316728,1647011460,,,,,,,,,,,-9.289728950646378,57.30072712327784,56.853496461155956
41,2022-03-11 23:12:00,43.777,43.827,43.857,43.767,204552,1647011520,,,1.0,,,,,,,,-8.57067373995968,57.30072712327784,56.853496461155956
42,2022-03-11 23:13:00,43.778,43.757,43.778,43.657,226700,1647011580,,,,,,,,,,,-8.263107230041811,57.30072712327784,56.853496461155956
43,2022-03-11 23:14:00,43.787,43.872,43.902,43.787,275630,1647011640,,,,,,,,,,,-7.253407199773754,57.30072712327784,56.853496461155956
44,2022-03-11 23:15:00,43.817,43.767,43.907,43.757,246886,1647011700,,,,,,,,,,,-6.895144272721041,51.89497083008352,56.853496461155956
45,2022-03-11 23:16:00,43.679,43.697,43.727,43.676,199276,1647011760,,,,,,,,,,,-6.073364465819203,51.89497083008352,56.853496461155956
46,2022-03-11 23:17:00,43.627,43.637,43.662,43.617,143396,1647011820,,,,,,,,,,,-5.736933925335272,51.89497083008352,56.853496461155956
47,2022-03-11 23:18:00,43.627,43.617,43.707,43.617,142598,1647011880,,,,,,,,,,,-5.445122960204394,51.89497083008352,56.853496461155956
48,2022-03-11 23:19:00,43.547,43.537,43.567,43.477,266608,1647011940,,,,,,,,,,,-6.009502018447456,51.89497083008352,56.853496461155956
49,2022-03-11 23:20:00,43.632,43.587,43.697,43.587,212434,1647012000,,,,,,,,,,,-5.905746031368643,46.23027770225367,56.853496461155956
50,2022-03-11 23:21:00,43.537,43.417,43.567,43.417,345282,1647012060,,,,,,,,,,,-7.080181560461369,46.23027770225367,56.853496461155956
51,2022-03-11 23:22:00,43.447,43.507,43.534,43.447,271362,1647012120,,,,,,,,,,,-7.1081924913620185,46.23027770225367,56.853496461155956
52,2022-03-11 23:23:00,43.517,43.557,43.567,43.497,208144,1647012180,,,,,,,,,,,-6.468321419311728,46.23027770225367,56.853496461155956
53,2022-03-11 23:24:00,43.517,43.577,43.667,43.517,364744,1647012240,,,,,,,,,,,-5.346359745684701,46.23027770225367,56.853496461155956
54,2022-03-11 23:25:00,43.517,43.557,43.557,43.445,222956,1647012300,,,,,,,,,,,-4.556167653871597,40.86052671631991,56.853496461155956
55,2022-03-11 23:26:00,43.577,43.677,43.707,43.577,319196,1647012360,,,,,,,,,,,-2.2505860914380946,40.86052671631991,56.853496461155956
56,2022-03-11 23:27:00,43.678,43.792,43.792,43.678,406208,1647012420,,,,,,,,,,,1.3361958119424173,40.86052671631991,56.853496461155956
57,2022-03-11 23:28:00,43.787,43.917,43.917,43.787,361380,1647012480,,,,,,,,,,,6.1873227707211385,40.86052671631991,56.853496461155956
58,2022-03-11 23:29:00,43.842,43.727,43.846,43.727,387364,1647012540,,,,,,,,,,,8.074583042498446,40.86052671631991,56.853496461155956
59,2022-03-11 23:30:00,43.757,43.682,43.837,43.682,191328,1647012600,,,,,,,,,,,9.19306721450043,36.53974162208125,56.51268072326879
60,2022-03-11 23:31:00,43.697,43.717,43.747,43.697,235416,1647012660,,,,,,,,,,,10.659866461157662,36.53974162208125,56.51268072326879
61,2022-03-11 23:32:00,43.687,43.447,43.687,43.447,291292,1647012720,,,,,,,,,,,8.482324793898655,36.53974162208125,56.51268072326879
62,2022-03-11 23:33:00,43.517,43.448,43.537,43.447,243316,1647012780,,,,,,,,,,,6.5697410648573324,36.53974162208125,56.51268072326879
63,2022-03-11 23:34:00,43.487,43.417,43.517,43.417,197940,1647012840,,,,,,,,,,,4.482152894201192,36.53974162208125,56.51268072326879
64,2022-03-11 23:35:00,43.507,43.377,43.507,43.377,171200,1647012900,,,,,,,,,,,2.643710963788731,30.4908921185814,56.51268072326879
65,2022-03-11 23:36:00,43.387,43.572,43.597,43.387,293656,1647012960,,,,,,,,,,,3.498465114546079,30.4908921185814,56.51268072326879
66,2022-03-11 23:37:00,43.602,43.547,43.602,43.547,205160,1647013020,,,,,,,,,,,4.259679792874916,30.4908921185814,56.51268072326879
