,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30
0,2023-06-05 21:31:00,36.055,36.15,36.15,35.755,4060160,1685971860,,,,,,,,,,,47.373305882502564,42.821170921644494,88.58232617796406
1,2023-06-05 21:32:00,36.13,36.195,36.195,36.095,555874,1685971920,,,,,,,,,,,55.328552788110855,42.821170921644494,88.58232617796406
2,2023-06-05 21:33:00,36.22,36.26,36.275,36.22,654236,1685971980,,,,,,,,,,,64.14571447332271,42.821170921644494,88.58232617796406
3,2023-06-05 21:34:00,36.235,36.255,36.263,36.225,394604,1685972040,,,,,,,,,,,71.78921316931147,42.821170921644494,88.58232617796406
4,2023-06-05 21:35:00,36.29,36.285,36.29,36.245,480932,1685972100,,,,,,,,,,,79.11227128884497,50.299494027320634,88.58232617796406
5,2023-06-05 21:36:00,36.345,36.305,36.345,36.305,655603,1685972160,,,,,,,,,,,84.46308921266512,50.299494027320634,88.58232617796406
6,2023-06-05 21:37:00,36.275,36.44,36.44,36.275,869790,1685972220,,,,,,,,,,,90.45883581963376,50.299494027320634,88.58232617796406
7,2023-06-05 21:38:00,36.415,36.36,36.415,36.33,570843,1685972280,,,,,,,,,,,93.49224790018636,50.299494027320634,88.58232617796406
8,2023-06-05 21:39:00,36.34,36.301,36.345,36.29,382453,1685972340,,1.0,,,,,,,,,94.46563778582059,50.299494027320634,88.58232617796406
9,2023-06-05 21:40:00,36.335,36.369,36.369,36.335,365491,1685972400,,,,,,,,,,,97.14514055410572,56.36391734346992,88.58232617796406
10,2023-06-05 21:41:00,36.374,36.445,36.464,36.374,511811,1685972460,,,,,,,,,,,100.91462120761334,56.36391734346992,88.58232617796406
11,2023-06-05 21:42:00,36.415,36.46,36.47,36.415,337628,1685972520,,,,,,,,,,,104.42713951044155,56.36391734346992,88.58232617796406
12,2023-06-05 21:43:00,36.485,36.565,36.565,36.485,707699,1685972580,,,,,,,,,,,107.72832931748661,56.36391734346992,88.58232617796406
13,2023-06-05 21:44:00,36.545,36.63,36.63,36.545,476751,1685972640,,,,,,,,,,,110.5696843079904,56.36391734346992,88.58232617796406
14,2023-06-05 21:45:00,36.615,36.58,36.615,36.555,530501,1685972700,,,,,,,,,,,111.90578034406343,62.6833717170733,88.58232617796406
15,2023-06-05 21:46:00,36.585,36.6,36.62,36.57,330506,1685972760,,,,,,,,,,,113.42818243871986,62.6833717170733,88.58232617796406
