,dt,open,close,high,low,vol,ts
0,2024-02-22 22:31:00,183.48,183.925,184.18,183.0,2810828,1708612260
1,2024-02-22 22:32:00,183.94,183.89,183.96,183.83,312998,1708612320
2,2024-02-22 22:33:00,183.985,183.79,183.985,183.79,381276,1708612380
3,2024-02-22 22:34:00,183.631,183.27,183.631,183.27,246983,1708612440
4,2024-02-22 22:35:00,183.17,182.865,183.17,182.759,316726,1708612500
5,2024-02-22 22:36:00,183.015,182.99,183.105,182.99,175518,1708612560
6,2024-02-22 22:37:00,182.87,182.89,182.995,182.83,176478,1708612620
7,2024-02-22 22:38:00,182.84,182.68,182.84,182.68,255183,1708612680
8,2024-02-22 22:39:00,182.66,182.68,182.7,182.64,182661,1708612740
9,2024-02-22 22:40:00,182.805,182.758,182.805,182.65,214415,1708612800
10,2024-02-22 22:41:00,182.92,183.079,183.1,182.919,227440,1708612860
11,2024-02-22 22:42:00,183.114,183.045,183.114,183.02,145809,1708612920
12,2024-02-22 22:43:00,183.135,183.348,183.362,183.135,192462,1708612980
13,2024-02-22 22:44:00,183.38,183.301,183.43,183.301,162764,1708613040
14,2024-02-22 22:45:00,183.28,183.18,183.3,183.18,123413,1708613100
15,2024-02-22 22:46:00,183.335,183.32,183.42,183.31,190344,1708613160
16,2024-02-22 22:47:00,183.425,183.37,183.425,183.37,114995,1708613220
17,2024-02-22 22:48:00,183.35,183.25,183.39,183.215,170034,1708613280
18,2024-02-22 22:49:00,183.225,183.28,183.33,183.204,132418,1708613340
19,2024-02-22 22:50:00,183.24,183.4,183.4,183.24,120659,1708613400
20,2024-02-22 22:51:00,183.405,183.595,183.6,183.405,303060,1708613460
21,2024-02-22 22:52:00,183.48,183.352,183.486,183.335,112784,1708613520
22,2024-02-22 22:53:00,183.21,183.355,183.37,183.21,144879,1708613580
23,2024-02-22 22:54:00,183.35,183.09,183.35,183.045,128817,1708613640
24,2024-02-22 22:55:00,183.07,183.04,183.07,183.02,184424,1708613700
25,2024-02-22 22:56:00,183.11,183.23,183.232,183.11,151030,1708613760
26,2024-02-22 22:57:00,183.22,183.168,183.22,183.12,83333,1708613820
27,2024-02-22 22:58:00,183.14,183.195,183.195,183.101,78547,1708613880
28,2024-02-22 22:59:00,183.16,183.105,183.16,183.055,147766,1708613940
29,2024-02-22 23:00:00,183.11,183.11,183.149,183.097,131840,1708614000
