,dt,open,close,high,low,vol
0,2023-11-14 22:31:00,187.7,187.37,188.09,184.8,5210646
1,2023-11-14 22:32:00,187.25,186.915,187.345,186.915,529956
2,2023-11-14 22:33:00,186.75,187.145,187.145,186.745,459141
3,2023-11-14 22:34:00,187.18,186.39,187.18,186.39,501625
4,2023-11-14 22:35:00,186.43,186.62,186.62,186.38,424054
5,2023-11-14 22:36:00,186.566,186.62,186.68,186.566,259250
6,2023-11-14 22:37:00,186.675,186.69,186.69,186.61,218480
7,2023-11-14 22:38:00,186.716,186.88,186.896,186.716,200788
8,2023-11-14 22:39:00,186.885,186.69,186.885,186.65,233322
9,2023-11-14 22:40:00,186.74,186.748,186.825,186.74,154116
10,2023-11-14 22:41:00,186.625,186.6,186.66,186.59,191478
11,2023-11-14 22:42:00,186.585,186.795,186.817,186.585,199894
12,2023-11-14 22:43:00,186.88,186.739,186.88,186.66,252836
13,2023-11-14 22:44:00,186.76,187.11,187.11,186.751,245125
14,2023-11-14 22:45:00,187.095,187.175,187.22,187.08,215732
15,2023-11-14 22:46:00,187.12,187.055,187.275,187.055,304336
16,2023-11-14 22:47:00,187.005,186.74,187.005,186.74,212390
17,2023-11-14 22:48:00,186.8,186.79,186.8,186.67,165681
18,2023-11-14 22:49:00,186.822,186.66,186.84,186.66,163170
19,2023-11-14 22:50:00,186.69,186.655,186.814,186.655,271889
20,2023-11-14 22:51:00,186.74,186.8,186.8,186.62,328601
21,2023-11-14 22:52:00,186.72,186.981,187.015,186.72,256598
22,2023-11-14 22:53:00,186.95,187.085,187.101,186.95,160419
23,2023-11-14 22:54:00,187.11,187.045,187.14,187.045,263535
24,2023-11-14 22:55:00,186.99,187.04,187.04,186.92,156337
25,2023-11-14 22:56:00,187.069,187.07,187.115,187.04,171946
26,2023-11-14 22:57:00,187.125,187.195,187.215,187.085,214695
27,2023-11-14 22:58:00,187.13,187.17,187.17,187.13,220620
28,2023-11-14 22:59:00,187.19,187.245,187.25,187.19,240032
29,2023-11-14 23:00:00,187.23,187.265,187.285,187.181,188925
30,2023-11-14 23:01:00,187.375,187.45,187.47,187.34,302785
31,2023-11-14 23:02:00,187.382,187.46,187.46,187.37,134544
32,2023-11-14 23:03:00,187.44,187.445,187.45,187.415,159645
33,2023-11-14 23:04:00,187.471,187.42,187.471,187.395,136733
34,2023-11-14 23:05:00,187.44,187.47,187.483,187.417,189979
35,2023-11-14 23:06:00,187.475,187.5,187.5,187.42,154451
36,2023-11-14 23:07:00,187.49,187.41,187.49,187.395,153502
37,2023-11-14 23:08:00,187.36,187.18,187.36,187.18,213259
38,2023-11-14 23:09:00,187.16,187.12,187.16,187.115,175509
39,2023-11-14 23:10:00,187.105,187.04,187.105,187.04,139940
40,2023-11-14 23:11:00,187.07,187.23,187.23,187.07,160657
41,2023-11-14 23:12:00,187.257,187.22,187.29,187.22,130344
