,dt,open,close,high,low,vol,ts
0,2024-02-27 22:31:00,181.1,181.326,181.326,180.77,1175270,1709044260
1,2024-02-27 22:32:00,181.35,181.442,181.53,181.3,276992,1709044320
2,2024-02-27 22:33:00,181.43,181.145,181.43,181.12,183636,1709044380
3,2024-02-27 22:34:00,181.18,181.136,181.29,181.136,136709,1709044440
4,2024-02-27 22:35:00,181.01,180.9,181.01,180.9,210186,1709044500
5,2024-02-27 22:36:00,180.895,180.85,180.895,180.79,169390,1709044560
6,2024-02-27 22:37:00,180.825,180.855,180.94,180.81,131113,1709044620
7,2024-02-27 22:38:00,180.87,180.86,180.875,180.838,108920,1709044680
8,2024-02-27 22:39:00,180.85,180.83,180.85,180.76,119960,1709044740
9,2024-02-27 22:40:00,180.835,180.732,180.835,180.73,113686,1709044800
10,2024-02-27 22:41:00,180.68,180.55,180.69,180.52,206344,1709044860
11,2024-02-27 22:42:00,180.483,180.44,180.57,180.425,200768,1709044920
12,2024-02-27 22:43:00,180.48,180.4,180.48,180.4,171589,1709044980
13,2024-02-27 22:44:00,180.429,180.335,180.429,180.335,150904,1709045040
14,2024-02-27 22:45:00,180.34,180.411,180.411,180.33,253537,1709045100
15,2024-02-27 22:46:00,180.419,180.45,180.45,180.401,175714,1709045160
16,2024-02-27 22:47:00,180.405,180.38,180.44,180.38,114353,1709045220
17,2024-02-27 22:48:00,180.37,180.493,180.493,180.37,107807,1709045280
18,2024-02-27 22:49:00,180.51,180.48,180.51,180.471,145605,1709045340
19,2024-02-27 22:50:00,180.44,180.63,180.63,180.435,150768,1709045400
20,2024-02-27 22:51:00,180.709,180.66,180.72,180.552,149584,1709045460
21,2024-02-27 22:52:00,180.63,180.62,180.63,180.6,104735,1709045520
22,2024-02-27 22:53:00,180.63,180.67,180.67,180.59,77490,1709045580
23,2024-02-27 22:54:00,180.705,180.714,180.78,180.69,125702,1709045640
24,2024-02-27 22:55:00,180.685,180.775,180.775,180.685,91733,1709045700
25,2024-02-27 22:56:00,180.785,180.81,180.87,180.785,103636,1709045760
26,2024-02-27 22:57:00,180.82,180.835,180.835,180.79,58571,1709045820
27,2024-02-27 22:58:00,180.88,180.955,180.97,180.875,95479,1709045880
28,2024-02-27 22:59:00,180.955,180.91,180.955,180.904,66941,1709045940
29,2024-02-27 23:00:00,180.92,180.899,180.92,180.843,76676,1709046000
30,2024-02-27 23:01:00,180.96,180.97,181.08,180.92,206272,1709046060
31,2024-02-27 23:02:00,181.01,181.05,181.081,181.01,94464,1709046120
32,2024-02-27 23:03:00,181.02,180.95,181.02,180.95,69878,1709046180
33,2024-02-27 23:04:00,180.931,180.795,180.931,180.79,128523,1709046240
34,2024-02-27 23:05:00,180.88,180.9,180.919,180.79,176542,1709046300
35,2024-02-27 23:06:00,180.87,180.74,180.87,180.74,82643,1709046360
36,2024-02-27 23:07:00,180.8,180.87,180.87,180.73,67978,1709046420
37,2024-02-27 23:08:00,180.991,181.0,181.033,180.991,106092,1709046480
38,2024-02-27 23:09:00,181.045,181.17,181.17,181.0,111447,1709046540
39,2024-02-27 23:10:00,181.17,181.22,181.25,181.17,118957,1709046600
40,2024-02-27 23:11:00,181.195,181.05,181.195,181.05,95117,1709046660
41,2024-02-27 23:12:00,181.05,181.02,181.065,181.015,63120,1709046720
42,2024-02-27 23:13:00,181.04,180.93,181.04,180.93,69521,1709046780
43,2024-02-27 23:14:00,180.965,180.94,181.05,180.94,82584,1709046840
44,2024-02-27 23:15:00,180.92,181.03,181.05,180.92,77331,1709046900
45,2024-02-27 23:16:00,181.06,181.03,181.06,181.005,61483,1709046960
46,2024-02-27 23:17:00,180.99,180.95,180.99,180.95,53344,1709047020
47,2024-02-27 23:18:00,181.03,181.056,181.056,181.02,133360,1709047080
48,2024-02-27 23:19:00,181.067,181.17,181.17,181.067,106171,1709047140
49,2024-02-27 23:20:00,181.202,181.459,181.459,181.202,149474,1709047200
50,2024-02-27 23:21:00,181.515,181.64,181.64,181.515,236744,1709047260
51,2024-02-27 23:22:00,181.575,181.415,181.575,181.39,149717,1709047320
52,2024-02-27 23:23:00,181.436,181.405,181.445,181.36,95048,1709047380
53,2024-02-27 23:24:00,181.385,181.29,181.385,181.283,69385,1709047440
54,2024-02-27 23:25:00,181.29,181.34,181.34,181.26,73059,1709047500
55,2024-02-27 23:26:00,181.32,181.265,181.33,181.265,48907,1709047560
56,2024-02-27 23:27:00,181.28,181.205,181.298,181.205,50306,1709047620
57,2024-02-27 23:28:00,181.22,181.095,181.22,181.095,79163,1709047680
58,2024-02-27 23:29:00,181.08,181.11,181.125,181.08,66479,1709047740
59,2024-02-27 23:30:00,181.091,181.18,181.18,181.091,67728,1709047800
60,2024-02-27 23:31:00,181.22,181.19,181.22,181.14,66067,1709047860
61,2024-02-27 23:32:00,181.18,181.105,181.18,181.105,56364,1709047920
62,2024-02-27 23:33:00,181.09,181.11,181.12,181.089,45459,1709047980
63,2024-02-27 23:34:00,181.11,181.14,181.14,181.09,49543,1709048040
64,2024-02-27 23:35:00,181.125,181.159,181.159,181.09,68577,1709048100
65,2024-02-27 23:36:00,181.141,181.11,181.141,181.085,63195,1709048160
66,2024-02-27 23:37:00,181.17,181.257,181.257,181.155,81904,1709048220
67,2024-02-27 23:38:00,181.265,181.163,181.265,181.161,66446,1709048280
68,2024-02-27 23:39:00,181.175,181.09,181.175,181.075,75710,1709048340
69,2024-02-27 23:40:00,181.085,181.05,181.1,181.05,63143,1709048400
70,2024-02-27 23:41:00,181.038,181.005,181.045,181.005,93702,1709048460
71,2024-02-27 23:42:00,181.05,181.005,181.08,181.005,82651,1709048520
72,2024-02-27 23:43:00,181.014,180.865,181.014,180.865,112751,1709048580
73,2024-02-27 23:44:00,180.84,180.835,180.845,180.81,103659,1709048640
74,2024-02-27 23:45:00,180.86,180.86,180.95,180.86,86145,1709048700
75,2024-02-27 23:46:00,180.785,180.9,180.9,180.785,79521,1709048760
76,2024-02-27 23:47:00,180.92,180.9,180.95,180.9,85408,1709048820
77,2024-02-27 23:48:00,180.93,180.945,180.98,180.93,50348,1709048880
78,2024-02-27 23:49:00,180.939,181.02,181.02,180.939,80275,1709048940
79,2024-02-27 23:50:00,181.11,181.072,181.11,181.05,88440,1709049000
80,2024-02-27 23:51:00,181.04,181.08,181.08,181.04,62254,1709049060
81,2024-02-27 23:52:00,181.12,181.18,181.194,181.12,83191,1709049120
82,2024-02-27 23:53:00,181.165,181.08,181.165,181.08,53643,1709049180
83,2024-02-27 23:54:00,181.1,181.155,181.155,181.082,53554,1709049240
84,2024-02-27 23:55:00,181.13,181.08,181.13,181.065,42375,1709049300
85,2024-02-27 23:56:00,181.085,181.107,181.107,181.085,38153,1709049360
86,2024-02-27 23:57:00,181.125,181.14,181.14,181.055,60779,1709049420
87,2024-02-27 23:58:00,181.125,181.17,181.17,181.125,33329,1709049480
88,2024-02-27 23:59:00,181.175,181.115,181.184,181.115,59925,1709049540
89,2024-02-28 00:00:00,181.09,181.095,181.095,181.06,72522,1709049600
90,2024-02-28 00:01:00,181.05,181.015,181.05,181.015,39768,1709049660
91,2024-02-28 00:02:00,181.02,181.045,181.08,181.02,50874,1709049720
92,2024-02-28 00:03:00,181.024,180.96,181.04,180.96,55462,1709049780
93,2024-02-28 00:04:00,180.956,180.965,180.965,180.93,64517,1709049840
94,2024-02-28 00:05:00,181.045,181.03,181.06,181.03,63210,1709049900
95,2024-02-28 00:06:00,181.025,180.911,181.025,180.91,37937,1709049960
96,2024-02-28 00:07:00,180.945,181.02,181.02,180.915,60889,1709050020
97,2024-02-28 00:08:00,181.005,181.06,181.06,180.985,55643,1709050080
98,2024-02-28 00:09:00,181.05,181.022,181.05,180.995,27513,1709050140
99,2024-02-28 00:10:00,181.09,181.0,181.105,180.99,67193,1709050200
100,2024-02-28 00:11:00,180.962,180.99,180.99,180.961,52938,1709050260
101,2024-02-28 00:12:00,180.98,181.03,181.03,180.96,45378,1709050320
102,2024-02-28 00:13:00,181.029,181.035,181.08,181.029,44632,1709050380
103,2024-02-28 00:14:00,181.025,181.04,181.04,180.98,50457,1709050440
104,2024-02-28 00:15:00,180.985,181.05,181.05,180.985,45951,1709050500
105,2024-02-28 00:16:00,181.025,180.977,181.035,180.96,56237,1709050560
106,2024-02-28 00:17:00,180.98,180.86,180.98,180.86,66221,1709050620
107,2024-02-28 00:18:00,180.858,180.9,180.9,180.82,61633,1709050680
108,2024-02-28 00:19:00,180.9,180.885,180.9,180.875,56004,1709050740
109,2024-02-28 00:20:00,180.91,180.88,180.91,180.88,45840,1709050800
110,2024-02-28 00:21:00,180.83,180.82,180.87,180.82,47751,1709050860
111,2024-02-28 00:22:00,180.84,180.86,180.865,180.824,50712,1709050920
112,2024-02-28 00:23:00,180.869,180.8,180.869,180.8,68488,1709050980
113,2024-02-28 00:24:00,180.82,180.84,180.84,180.81,39659,1709051040
114,2024-02-28 00:25:00,180.825,180.9,180.9,180.825,37151,1709051100
115,2024-02-28 00:26:00,180.879,180.885,180.93,180.86,60795,1709051160
116,2024-02-28 00:27:00,180.84,180.89,180.89,180.84,42219,1709051220
117,2024-02-28 00:28:00,180.895,180.93,180.94,180.863,65249,1709051280
118,2024-02-28 00:29:00,180.93,181.005,181.01,180.93,90582,1709051340
119,2024-02-28 00:30:00,180.984,180.86,180.984,180.86,75272,1709051400
120,2024-02-28 00:31:00,180.83,180.89,180.89,180.83,56932,1709051460
121,2024-02-28 00:32:00,180.865,180.87,180.87,180.85,38136,1709051520
122,2024-02-28 00:33:00,180.9,180.9,180.9,180.882,37774,1709051580
123,2024-02-28 00:34:00,180.88,180.935,180.935,180.88,41282,1709051640
124,2024-02-28 00:35:00,180.96,180.94,180.96,180.934,37581,1709051700
125,2024-02-28 00:36:00,180.935,180.88,180.935,180.875,41001,1709051760
126,2024-02-28 00:37:00,180.899,180.845,180.899,180.845,36479,1709051820
127,2024-02-28 00:38:00,180.82,180.804,180.82,180.785,50365,1709051880
128,2024-02-28 00:39:00,180.8,180.745,180.8,180.745,55087,1709051940
129,2024-02-28 00:40:00,180.75,180.806,180.816,180.75,42451,1709052000
130,2024-02-28 00:41:00,180.86,180.815,180.865,180.81,49826,1709052060
131,2024-02-28 00:42:00,180.817,180.8,180.83,180.79,46802,1709052120
132,2024-02-28 00:43:00,180.78,180.768,180.78,180.75,52053,1709052180
133,2024-02-28 00:44:00,180.746,180.78,180.78,180.735,37213,1709052240
134,2024-02-28 00:45:00,180.795,180.752,180.8,180.752,37960,1709052300
135,2024-02-28 00:46:00,180.76,180.8,180.8,180.75,39821,1709052360
136,2024-02-28 00:47:00,180.795,180.775,180.795,180.775,25087,1709052420
137,2024-02-28 00:48:00,180.76,180.797,180.797,180.755,37609,1709052480
138,2024-02-28 00:49:00,180.795,180.746,180.82,180.74,42110,1709052540
139,2024-02-28 00:50:00,180.77,180.74,180.77,180.74,27501,1709052600
140,2024-02-28 00:51:00,180.77,180.845,180.86,180.765,47450,1709052660
141,2024-02-28 00:52:00,180.85,180.85,180.87,180.85,45698,1709052720
142,2024-02-28 00:53:00,180.81,180.79,180.817,180.78,40576,1709052780
143,2024-02-28 00:54:00,180.86,180.868,180.87,180.842,50723,1709052840
144,2024-02-28 00:55:00,180.85,180.835,180.85,180.805,31501,1709052900
145,2024-02-28 00:56:00,180.855,180.81,180.865,180.81,36262,1709052960
146,2024-02-28 00:57:00,180.835,180.89,180.895,180.835,54592,1709053020
147,2024-02-28 00:58:00,180.885,180.84,180.889,180.832,42859,1709053080
148,2024-02-28 00:59:00,180.83,180.835,180.838,180.803,48280,1709053140
