,dt,open,close,high,low,vol,ts
0,2024-01-11 22:31:00,186.54,186.888,187.4,185.58,1822055,1704983460
1,2024-01-11 22:32:00,186.956,186.83,186.956,186.73,212292,1704983520
2,2024-01-11 22:33:00,186.79,186.38,186.86,186.38,288591,1704983580
3,2024-01-11 22:34:00,186.406,186.78,186.78,186.4,291841,1704983640
4,2024-01-11 22:35:00,186.71,186.75,186.76,186.7,197885,1704983700
5,2024-01-11 22:36:00,186.69,186.615,186.72,186.605,200921,1704983760
6,2024-01-11 22:37:00,186.625,186.315,186.752,186.315,229360,1704983820
7,2024-01-11 22:38:00,186.27,186.165,186.27,186.08,329410,1704983880
8,2024-01-11 22:39:00,186.088,185.84,186.088,185.82,266755,1704983940
9,2024-01-11 22:40:00,185.82,185.65,185.82,185.65,246455,1704984000
10,2024-01-11 22:41:00,185.81,185.627,185.81,185.525,338205,1704984060
11,2024-01-11 22:42:00,185.58,185.43,185.58,185.43,209581,1704984120
12,2024-01-11 22:43:00,185.45,185.18,185.45,185.18,215052,1704984180
13,2024-01-11 22:44:00,185.22,185.1,185.31,185.1,254660,1704984240
14,2024-01-11 22:45:00,185.22,185.155,185.22,185.116,207298,1704984300
15,2024-01-11 22:46:00,185.29,185.16,185.29,185.15,223853,1704984360
16,2024-01-11 22:47:00,185.11,185.015,185.17,185.015,252310,1704984420
17,2024-01-11 22:48:00,184.94,184.98,184.991,184.86,269118,1704984480
18,2024-01-11 22:49:00,184.92,184.96,185.0,184.9,192802,1704984540
19,2024-01-11 22:50:00,184.94,184.728,184.94,184.728,197117,1704984600
20,2024-01-11 22:51:00,184.79,184.725,184.79,184.695,195871,1704984660
21,2024-01-11 22:52:00,184.72,184.858,184.905,184.72,174765,1704984720
22,2024-01-11 22:53:00,184.87,184.75,184.87,184.645,198430,1704984780
23,2024-01-11 22:54:00,184.751,184.732,184.776,184.66,151268,1704984840
24,2024-01-11 22:55:00,184.833,184.908,184.98,184.833,173741,1704984900
25,2024-01-11 22:56:00,184.873,184.88,184.9,184.825,161721,1704984960
26,2024-01-11 22:57:00,184.87,184.735,184.94,184.735,198127,1704985020
27,2024-01-11 22:58:00,184.785,184.73,184.825,184.73,127025,1704985080
28,2024-01-11 22:59:00,184.79,184.72,184.8,184.72,113102,1704985140
29,2024-01-11 23:00:00,184.72,184.72,184.74,184.685,174782,1704985200
30,2024-01-11 23:01:00,184.74,184.545,184.74,184.532,316347,1704985260
31,2024-01-11 23:02:00,184.5,184.57,184.57,184.44,283297,1704985320
